pest_code,pest_name,lower_thresh,upper_thresh,predictive_biofix_dd,flight_interval_dd,start_date
OLFF,Olive Fruit Fly,46.4,96,,720,1-Jan
NOW,Navel Orangeworm,55,93.9,,1056,1-Jan
CM,Codling Moth,50,88,175,1000,1-Jan
SWD,Spotted Wing Drosophila,50,86,,450,1-Jan
BMSB,Brown Marmorated Stink Bug,57.2,91.4,,968,1-Jan
ACP,Asian Citrus Psyllid,60.8,106.9,,320,1-Jan
PTB,Peach Twig Borer,50,88,,740,1-Jan
WHF,Walnut Husk Fly,41,130,,,1-Jan
CRS,California Red Scale,52.7,86,180,1100,1-Mar
SJS,San Jose Scale,51,90,275,1050,1-Jan
CT,Citrus Thrips,58.3,95,,275,1-Jan
CLM,Citrus Leafminer,51.3,93.2,,350,1-Jan
CMB,Citrus Mealybug,46.8,94.1,,600,1-Jan
AW,Alfalfa Weevil,44.2,87.8,150,799,1-Jan
BCW,Black Cutworm,43.6,98.4,200,284,1-Jan
CL,Cabbage Looper,43.7,93.1,275,692,1-Jan
CMG,Cabbage Maggot,46.1,97.1,300,766,1-Jan
CPB,Colorado Potato Beetle,50.5,98.4,180,522,1-Jan
CEW,Corn Earworm,48.6,89.8,,811,1-Jan
CRW,Corn Rootworm,45.8,86.7,,279,1-Jan
ECB,European Corn Borer,52.2,88.4,275,285,1-Jan
FB,Flea Beetle,42.8,91.4,180,1031,1-Jan
ICW,Imported Cabbageworm,45.8,97.3,180,592,1-Jan
JB,Japanese Beetle,47.3,97.9,150,371,1-Jan
LB,Lygus Bug,49.1,85.1,300,746,1-Jan
OM,Onion Maggot,55.7,92.7,150,981,1-Jan
SM,Seedcorn Maggot,44,91.3,150,455,1-Jan
SVB,Squash Vine Borer,50.3,88.3,150,842,1-Jan
SB,Stalk Borer,51.8,86.8,150,331,1-Jan
VCW,Variegated Cutworm,40.9,90.1,150,299,1-Jan
WBCW,Western Bean Cutworm,52.2,99.1,200,755,1-Jan
WFT,Western Flower Thrips,43.4,89.8,180,764,1-Jan
GWSS,Glassy-winged Sharpshooter,41.3,92.8,150,856,1-Jan
VMB,Vine Mealybug,59,95.5,180,940,1-Jan
LBAM,Light Brown Apple Moth,59.3,90.5,180,1177,1-Jan
EGVM,European Grapevine Moth,56.2,99.6,175,740,1-Jan
CFF,Caribbean Fruit Fly,46.1,99.4,200,557,1-Jan
PL,Purple Loosestrife,42,88.8,150,1005,1-Jan
BLB,Bean Leaf Beetle,53.7,92.5,,507,1-Jan
CSB,Common Stalk Borer,48.8,89.5,275,667,1-Jan
SCA,Soybean Aphid,42.4,89.3,300,325,1-Jan
WSAW,Wheat Stem Sawfly,49.9,85.6,,274,1-Jan
WCM,Wheat Curl Mite,40.7,94.1,200,1165,1-Jan
SHW,Sunflower Headclipping Weevil,58.2,92.5,275,1044,1-Jan
PWB,Pale Western Cutworm,45.2,85.8,200,911,1-Jan
AM,Apple Maggot,53.3,89.2,180,639,1-Jan
BA,Banded Ash Borer,46.2,98.6,275,415,1-Jan
CB,Cabbage Butterfly,50.4,88.6,180,399,1-Jan
CFB,Citrus Flat Mite,50.9,87.2,,488,1-Jan
CBB,Coffee Bean Borer,43.7,92.3,,772,1-Jan
DPB,Diamondback Moth,59.4,99.8,275,929,1-Jan
EAB,Emerald Ash Borer,55.5,88.6,275,877,1-Jan
FAW,Fall Armyworm,58.8,95.1,150,516,1-Jan
GPA,Green Peach Aphid,57.9,96.4,200,1157,1-Jan
HC,Hessian Fly,52,88.6,150,951,1-Jan
MB,Mexican Bean Beetle,58.4,95.9,200,777,1-Jan
OFM,Oriental Fruit Moth,41.8,90.5,150,831,1-Jan
PB,Pink Bollworm,43.9,94.5,180,649,1-Jan
RB,Redbanded Stink Bug,40.9,94.5,275,485,1-Jan
SCA,Sugarcane Aphid,46.5,93,,588,1-Jan
TSSM,Two-Spotted Spider Mite,47.8,86.4,200,970,1-Jan
WA,Woolly Apple Aphid,45.4,97.5,200,264,1-Jan
WFF,Western Flower Thrips,56.6,89.8,,360,1-Jan
YSA,Yellow Sugarcane Aphid,47.1,87.8,150,294,1-Jan
BCA,Brown Citrus Aphid,45.6,85.6,200,289,1-Jan
CA,Cotton Aphid,50.9,93.9,300,1063,1-Jan
CFA,Citrus Flat Mite,42.8,95.2,180,918,1-Jan
CP,Codling Moth,56,85.2,275,700,1-Jan
DBM,Diamondback Moth,41.5,92.7,,343,1-Jan
FMB,Filbertworm,59.7,88.4,275,717,1-Jan
GA,Green Apple Aphid,55.4,94.7,300,700,1-Jan
GSS,Green Stink Bug,44,87.6,200,415,1-Jan
HWA,Hemlock Woolly Adelgid,40.1,95.4,200,662,1-Jan
LPT,Lesser Peachtree Borer,56.3,90.8,300,629,1-Jan
MBB,Mexican Bean Beetle,54.1,99.1,,835,1-Jan
NP,Navel Orangeworm,54.6,87.1,180,853,1-Jan
OBLR,Obliquebanded Leafroller,55.4,90.1,175,293,1-Jan
PBW,Pink Bollworm,41.5,86.7,,606,1-Jan
PLH,Potato Leafhopper,47.2,98.9,175,845,1-Jan
RS,Red Scale,42.3,98.2,300,728,1-Jan
SLF,Spotted Lanternfly,57.3,88.9,150,1064,1-Jan
TMB,Tarnished Plant Bug,52.5,94.9,175,876,1-Jan
WAA,Woolly Apple Aphid,46.6,97.3,180,405,1-Jan
WPB,Western Pine Beetle,41.3,93.3,150,317,1-Jan
YAA,Yellow Apple Aphid,46.2,92.9,175,860,1-Jan
AB,Apple Blotch,46.5,88.6,300,275,1-Jan
BWA,Balsam Woolly Adelgid,54.6,86.4,150,806,1-Jan
CNA,Citrus Nematode,52.8,98.5,300,1143,1-Jan
CW,Corn Rootworm,57.7,98.5,175,797,1-Jan
ESB,European Chafer,49.4,94.5,300,619,1-Jan
GWB,Grape Root Borer,42.4,90.1,180,861,1-Jan
HCT,Hickory Tussock Moth,54.3,90.2,175,685,1-Jan
LAW,Lesser Appleworm,55.2,95.9,175,768,1-Jan
MRB,Mint Root Borer,51.2,98.5,175,1144,1-Jan
PA,Pea Aphid,55.4,98.3,,617,1-Jan
PBA,Pecan Nut Casebearer,49.9,96.7,,1163,1-Jan
RWA,Russian Wheat Aphid,50.5,94.6,,1110,1-Jan
SPW,Sweetpotato Whitefly,48.6,86.3,180,436,1-Jan
TA,Turnip Aphid,40.5,87.4,150,316,1-Jan
VPB,Velvetbean Caterpillar,42.2,98.5,300,346,1-Jan
WFA,Western Flower Thrips,40.6,94.1,200,267,1-Jan
WSB,Wheat Stem Borer,52.7,85.1,175,340,1-Jan
YMA,Yellow Mite,46.3,86.5,300,899,1-Jan
ZMA,Zimmerman Pine Moth,50.2,95,175,318,1-Jan
